quality,Oakiness,Flavor,Body,Aroma,Clarity
9.8,4.1,3.1,2.8,3.3,1
12.6,3.9,3.5,4.9,4.4,1
11.9,4.7,4.8,5.3,3.9,1
11.1,3.6,3.1,2.6,3.9,1
13.3,5.1,5.5,5.1,5.6,1
12.8,4.1,5,4.7,4.6,1
12.8,3.3,4.8,4.8,4.8,1
12,5.2,4.3,4.5,5.3,1
13.6,2.9,3.9,4.3,4.3,1
13.9,3.9,4.7,3.9,4.3,1
14.4,3.6,4.5,4.3,5.1,1
12.3,3.6,4.3,5.4,3.3,0.5
16.1,4.1,7,5.7,5.9,0.8
16.1,3.7,6.7,6.6,7.7,0.7
15.5,4.1,5.8,4.4,7.1,1
15.5,4.4,5.6,5.6,5.5,0.9
13.8,4.6,4.8,5.4,6.3,1
13.8,4.1,5.5,5.5,5,1
11.3,3.1,4.3,4.1,4.6,1
7.9,3.4,3.4,5,3.4,0.9
15.1,4.8,6.6,5.4,6.4,0.9
13.5,3.8,5.3,5.3,5.5,1
10.8,3.7,5,4.1,4.7,0.7
9.5,4,4.1,4,4.1,0.7
12.7,4.7,5.7,5.4,6,1
11.6,4.9,4.7,4.6,4.3,1
11.7,5.1,5.1,4,3.9,1
11.9,5.1,5,4.9,5.1,1
10.8,4.4,5,4.4,3.9,1
8.5,3.9,2.9,3.7,4.5,1
10.7,6,5,4.3,5.2,1
9.1,4.7,3,3.8,4.2,0.8
12.1,4.5,4.3,3.5,3.3,1
14.9,5.2,6,5,6.8,1
13.5,4.8,5.5,5.7,5,0.8
12.2,3.3,4.2,4.7,3.5,0.8
10.3,5.8,3.5,5.5,4.3,0.8
13.2,3.5,5.7,4.8,5.2,0.8
